testcase,2mp|5mp|8mp,template,irledmode,daytonight,nighttoday,fromhour,frommins,tohour,tomins,intensitymode,intensityfar,intensitynear,expectedresult
tc01_defaultvalues,2mp|5mp|8mp,Basic,auto,0.20,0.8,,,,,auto,100,100,pass
tc02_template_basic,2mp|5mp|8mp,Basic,auto,,,,,,,,,,pass
tc02_template_indoor,2mp|5mp|8mp,Indoor,,,,,,,,,,,pass
tc02_template_outdoor,2mp|5mp|8mp,Outdoor,,,,,,,,,,,pass
tc03_irled_auto,2mp|5mp|8mp,,auto,,,,,,,,,,pass
tc04_irled_alwaysoff,2mp|5mp|8mp,,alwaysoff,,,,,,,,,,pass
tc05_irled_alwayson,2mp|5mp|8mp,,alwayson,,,,,,,,,,pass
tc06_irled_schedule,2mp|5mp|8mp,,schedule,,,18,00,06,00,,,,pass
tc07_daytonight_020,2mp|5mp|8mp,,auto,0.20,,,,,,,,,pass
tc07_daytonight_050,2mp|5mp|8mp,,auto,0.50,,,,,,,,,pass
tc07_daytonight_100,2mp|5mp|8mp,,auto,1.00,,,,,,,,,pass
tc08_nighttoday_08,2mp|5mp|8mp,,auto,,0.8,,,,,,,,pass
tc08_nighttoday_20,2mp|5mp|8mp,,auto,,2.0,,,,,,,,pass
tc08_nighttoday_50,2mp|5mp|8mp,,auto,,5.0,,,,,,,,pass
tc09_schedule_min,2mp|5mp|8mp,,schedule,,,00,00,00,00,,,,pass
tc09_schedule_max,2mp|5mp|8mp,,schedule,,,23,59,23,59,,,,pass
tc09_schedule_set,2mp|5mp|8mp,,schedule,,,20,30,05,30,,,,pass
tc10_intensity_auto,2mp|5mp|8mp,,alwayson,,,,,,,auto,,,pass
tc11_intensity_smart,2mp|5mp|8mp,,alwayson,,,,,,,smart,,,pass
tc12_intensity_manual,2mp|5mp|8mp,,alwayson,,,,,,,manual,80,60,pass
tc13_intensityfar_min,2mp|5mp|8mp,,alwayson,,,,,,,manual,0,,pass
tc13_intensityfar_max,2mp|5mp|8mp,,alwayson,,,,,,,manual,100,,pass
tc13_intensityfar_set,2mp|5mp|8mp,,alwayson,,,,,,,manual,75,,pass
tc13_intensityfar_neg,2mp|5mp|8mp,,alwayson,,,,,,,manual,-1,,fail
tc13_intensityfar_above,2mp|5mp|8mp,,alwayson,,,,,,,manual,101,,fail
tc13_intensityfar_alpha,2mp|5mp|8mp,,alwayson,,,,,,,manual,abc,,fail
tc14_intensitynear_min,2mp|5mp|8mp,,alwayson,,,,,,,manual,,0,pass
tc14_intensitynear_max,2mp|5mp|8mp,,alwayson,,,,,,,manual,,100,pass
tc14_intensitynear_set,2mp|5mp|8mp,,alwayson,,,,,,,manual,,50,pass
tc14_intensitynear_neg,2mp|5mp|8mp,,alwayson,,,,,,,manual,,-1,fail
tc14_intensitynear_above,2mp|5mp|8mp,,alwayson,,,,,,,manual,,101,fail
tc14_intensitynear_alpha,2mp|5mp|8mp,,alwayson,,,,,,,manual,,abc,fail
tc15_setall_normal,2mp|5mp|8mp,Basic,auto,0.50,2.0,,,,,manual,80,60,pass
tc15_setall_schedule,2mp|5mp|8mp,Basic,schedule,0.20,0.8,20,00,06,00,auto,,,pass
